event_id,origintime,magnitude,magnitude_source,max_mmi,latitude,longitude,depth_km,err_lat,err_lon,err_depth,err_origintime,state,county,status
9594,2019-01-11 02:39:18,1.0,OGS,None,36.45333333,-96.8875,6.42,1.27,1.27,4.0,None,Oklahoma,Pawnee,Reviewed
9595,2019-01-12 02:48:37,1.6,OGS,None,36.92466667,-97.483,6.32,0.42,0.42,1.0,None,Kansas,Sumner,Reviewed
9596,2019-01-12 07:31:18,1.5,OGS,None,35.98533333,-96.81816667,5.31,0.28,0.28,0.5,None,Oklahoma,Payne,Reviewed
9597,2019-01-12 10:21:59,1.4,OGS,None,37.11016667,-97.7965,3.37,0.42,0.42,1.2,None,Kansas,Sumner,Reviewed
9598,2019-01-13 06:26:19,0.8,OGS,None,36.42816667,-96.92816667,3.84,0.42,0.42,2.1,None,Oklahoma,Pawnee,Reviewed
10441,2019-01-13 10:13:05,1.7,OGS,None,35.38383333,-98.0955,6.8,0.64,0.64,1.7,None,Oklahoma,Canadian,Reviewed
9599,2019-01-13 12:45:49,1.3,OGS,None,37.0345,-98.11183333,3.25,0.92,0.92,4.0,None,Kansas,Harper,Reviewed
9600,2019-01-13 15:39:30,1.5,OGS,None,36.44716667,-96.882,4.67,0.21,0.21,0.4,None,Oklahoma,Pawnee,Reviewed
9601,2019-01-13 17:09:46,1.5,OGS,None,36.453,-98.77333333,7.1,0.28,0.28,0.5,None,Oklahoma,Major,Reviewed
9602,2019-01-13 19:39:50,1.5,OGS,None,36.84316667,-97.788,8.11,0.21,0.21,1.7,None,Oklahoma,Grant,Reviewed
9603,2019-01-14 05:05:02,1.8,OGS,None,36.27283333,-97.61683333,15.2,0.14,0.14,0.9,None,Oklahoma,Garfield,Reviewed
9604,2019-01-14 06:45:59,1.4,OGS,None,36.52416667,-98.98233333,6.29,0.71,0.71,0.6,None,Oklahoma,Woodward,Reviewed
9605,2019-01-14 07:21:04,1.8,OGS,None,36.931,-97.92766667,4.01,0.21,0.21,0.5,None,Oklahoma,Grant,Reviewed
9606,2019-01-14 08:20:07,3.6,USGS,None,36.27166667,-97.62016667,16.93,0.14,0.14,0.9,None,Oklahoma,Garfield,Reviewed
9609,2019-01-14 15:34:55,0.5,OGS,None,36.44883333,-96.8885,2.08,0.14,0.14,2.7,None,Oklahoma,Pawnee,Reviewed
9610,2019-01-14 16:13:39,1.0,OGS,None,36.394,-98.905,6.8,2.05,2.05,3.5,None,Oklahoma,Woodward,Reviewed
9611,2019-01-15 01:13:02,1.0,OGS,None,36.45666667,-98.77366667,5.68,0.21,0.21,0.3,None,Oklahoma,Major,Reviewed
9051,2019-01-15 02:30:54,1.0,OGS,None,35.12683333,-97.68633333,11.8,0.99,0.99,3.3,None,Oklahoma,McClain,Reviewed
9612,2019-01-15 07:13:09,1.8,OGS,None,36.218,-97.56733333,5.0,0.14,0.14,0.7,None,Oklahoma,Logan,Reviewed
9613,2019-01-15 07:14:21,1.4,OGS,None,36.21266667,-97.57533333,6.35,0.21,0.21,0.7,None,Oklahoma,Logan,Reviewed
9614,2019-01-15 09:05:24,0.6,OGS,None,36.45016667,-96.88716667,2.52,0.14,0.14,1.2,None,Oklahoma,Pawnee,Reviewed
9615,2019-01-15 10:34:12,2.2,OGS,None,36.4505,-96.879,6.46,0.28,0.28,0.4,None,Oklahoma,Pawnee,Reviewed
9616,2019-01-15 10:56:45,1.0,OGS,None,36.44983333,-96.8835,2.96,0.14,0.14,0.8,None,Oklahoma,Pawnee,Reviewed
9617,2019-01-15 11:49:10,1.9,OGS,None,36.27516667,-97.63716667,7.78,0.14,0.14,0.7,None,Oklahoma,Garfield,Reviewed
9618,2019-01-15 13:28:02,3.9,USGS,None,36.21833333,-97.56883333,8.78,0.14,0.14,5.2,None,Oklahoma,Logan,Reviewed
9620,2019-01-15 13:32:02,2.7,OGS,None,36.21866667,-97.57533333,5.0,0.14,0.14,0.6,None,Oklahoma,Logan,Reviewed
9621,2019-01-15 13:37:55,1.5,OGS,None,36.21633333,-97.57116667,7.73,0.14,0.14,0.7,None,Oklahoma,Logan,Reviewed
