,API,Lease_Name,Production_type,Production_Status,Drilling_Type,First_Production_Day,Cum_Oil,Cum_Gas,Cum_water,Lat,Long,Lateral Length,Spud_Date,Completion_Date,Well_Number,Upper_Perforation,Lower_Perforation,Reservoir,operator ,Cum_BOE
343,4230133854,GOODNIGHT UNIT 6HR,,Approved Permit,H,,,,,31.911182399999998,-103.5200043,9962.483398,1/28/2018,,,0,0,,,
346,4230133754,SILVERTIP UNIT Z 2H,OIL,Active,H,4/1/2018,164098.0,295687.0,1552877.0,31.96869278,-103.49389649999999,11418.93359,1/13/2018,,,0,0,,,213379.1672
347,4230133754,SILVERTIP UNIT Z 2H,OIL,Active,H,4/1/2018,164098.0,295687.0,1552877.0,31.96869278,-103.49389649999999,11418.93359,1/13/2018,4/5/2018,2H,12886,23181,,ANADARKO E&P ONSHORE LLC,213379.1672
348,4230133751,TOTUM 18-TTT-C24 NL 212H,OIL,Active,H,3/1/2018,181855.0,325899.0,566791.0,31.95195007,-103.37213129999999,4908.183105,12/31/2017,,,0,0,,,236171.49899999998
349,4230133751,TOTUM 18-TTT-C24 NL 212H,OIL,Active,H,3/1/2018,181855.0,325899.0,566791.0,31.95195007,-103.37213129999999,4908.183105,12/31/2017,3/9/2018,212H,12688,17257,,MATADOR PRODUCTION COMPANY,236171.49899999998
350,4230133886,RUSTLER D UNIT 2H,OIL,Active,H,8/1/2018,107144.0,204285.0,0.0,31.93996048,-103.5116501,9828.658203,5/14/2018,8/25/2018,2H,12589,17043,WOLFCAMP,"EOG RESOURCES, INC.",141191.5
351,4230133886,RUSTLER D UNIT 2H,OIL,Active,H,8/1/2018,107144.0,204285.0,0.0,31.93996048,-103.5116501,9828.658203,5/14/2018,,,0,0,,,141191.5
352,4230133876,DACO NEWTEX 1,,Active,V,,,,,31.9974575,-103.4976959,350.0,8/4/2018,11/11/2018,1,5355,7650,BONE SPRING,"HILLSTONE DACO PERMIAN, LLC",
353,4230133876,DACO NEWTEX 1,,Active,V,,,,,31.9974575,-103.4976959,350.0,8/4/2018,,,0,0,,,
360,4230133846,ASPEN 55-1-30 UNIT 2H,OIL,Active,H,7/1/2018,87754.0,442100.0,383570.0,31.93555641,-103.80235290000002,8356.06543,4/21/2018,,,0,0,,,161437.3301
361,4230133846,ASPEN 55-1-30 UNIT 2H,OIL,Active,H,7/1/2018,87754.0,442100.0,383570.0,31.93555641,-103.80235290000002,8356.06543,4/21/2018,7/20/2018,2H,11388,18873,,ANADARKO E&P ONSHORE LLC,161437.3301
362,4230133880,WEBER 26 E001,OIL,Active,H,8/1/2018,217142.0,279912.562,1323746.0,31.83156395,-103.4821625,5045.124022999999,3/5/2018,,,0,0,,,263794.0957
363,4230133880,WEBER 26 E001,OIL,Active,H,8/1/2018,217142.0,279912.562,1323746.0,31.83156395,-103.4821625,5045.124022999999,3/5/2018,8/21/2018,E001,12410,16771,,"ROSEHILL OPERATING COMPANY, LLC",263794.0957
364,4230133880,WEBER 26 E001,OIL,Active,H,8/1/2018,217142.0,279912.562,1323746.0,31.83156395,-103.4821625,5045.124022999999,3/5/2018,3/19/2019,E001,0,0,,"ROSEHILL OPERATING COMPANY, LLC",263794.0957
368,4230133873,JUDGE 3WN 1H,,Approved Permit,H,,,,,31.75225067,-103.51608279999999,5002.630371,11/16/2018,,,0,0,,,
369,4230133883,WEBER 26 F002,OIL,Active,H,8/1/2018,228704.0,287490.0,772924.0,31.83162689,-103.48193359999999,5225.64209,5/13/2018,8/21/2018,F002,12183,16544,WOLFCAMP,"ROSEHILL OPERATING COMPANY, LLC",276618.998
370,4230133883,WEBER 26 F002,OIL,Active,H,8/1/2018,228704.0,287490.0,772924.0,31.83162689,-103.48193359999999,5225.64209,5/13/2018,,,0,0,,,276618.998
371,4230133883,WEBER 26 F002,OIL,Active,H,8/1/2018,228704.0,287490.0,772924.0,31.83162689,-103.48193359999999,5225.64209,5/13/2018,3/18/2019,F002,0,0,,"ROSEHILL OPERATING COMPANY, LLC",276618.998
372,4230133879,CHOLLA 15 SW 2,,Active,V,,,,,31.95884323,-103.543251,,6/21/2018,8/15/2018,2,5073,7260,M,"HILLSTONE DACO PERMIAN, LLC",
373,4230133879,CHOLLA 15 SW 2,,Active,V,,,,,31.95884323,-103.543251,,6/21/2018,,,0,0,,,
377,4230133811,BISMARCK 75-12 LOV 1H,,Active,H,,,,,31.89458275,-103.4099884,4582.45752,4/19/2018,8/18/2018,1H,12762,17663,WOLFCAMP,SHELL WESTERN E&P,
378,4230133811,BISMARCK 75-12 LOV 1H,,Active,H,,,,,31.89458275,-103.4099884,4582.45752,4/19/2018,,,0,0,,,
379,4230133878,CHOLLA 15 E 1,,Active,V,,,,,31.95883751,-103.53479,,6/2/2018,10/11/2018,1,5176,7300,M,"HILLSTONE DACO PERMIAN, LLC",
380,4230133878,CHOLLA 15 E 1,,Active,V,,,,,31.95883751,-103.53479,,6/2/2018,,,0,0,,,
389,4230133882,WEBER 26 F001,OIL,Active,H,8/1/2018,261665.0,322321.0,908234.0,31.83160591,-103.48200990000001,5130.824219,4/25/2018,,,0,0,,,315385.1655
390,4230133882,WEBER 26 F001,OIL,Active,H,8/1/2018,261665.0,322321.0,908234.0,31.83160591,-103.48200990000001,5130.824219,4/25/2018,8/21/2018,F001,12257,17056,,"ROSEHILL OPERATING COMPANY, LLC",315385.1655
391,4230133882,WEBER 26 F001,OIL,Active,H,8/1/2018,261665.0,322321.0,908234.0,31.83160591,-103.48200990000001,5130.824219,4/25/2018,3/30/2019,F001,0,0,,"ROSEHILL OPERATING COMPANY, LLC",315385.1655
392,4230133871,BULLHEAD STATE 55-1-45 UNIT B 2H,,Active,H,11/1/2018,49895.0,162916.0,0.0,31.89188576,-103.768898,8335.694336,6/13/2018,11/15/2018,2H,11066,18214,WOLFCAMP,ANADARKO E&P ONSHORE LLC,77047.66602
393,4230133871,BULLHEAD STATE 55-1-45 UNIT B 2H,,Active,H,11/1/2018,49895.0,162916.0,0.0,31.89188576,-103.768898,8335.694336,6/13/2018,,,0,0,,,77047.66602
394,4230133862,FARGO 75-13 LOV 1H,,Active,H,9/1/2018,38712.0,61059.0,123269.0,31.90436172,-103.3738403,4451.954102000001,5/16/2018,9/24/2018,1H,12513,17203,WOLFCAMP,SHELL WESTERN E&P,48888.49951
395,4230133862,FARGO 75-13 LOV 1H,,Active,H,9/1/2018,38712.0,61059.0,123269.0,31.90436172,-103.3738403,4451.954102000001,5/16/2018,,,0,0,,,48888.49951
396,4230133881,WEBER 26 E002,OIL,Active,H,8/1/2018,81572.0,136244.0,497281.0,31.83158493,-103.48208620000001,5069.197265999999,4/11/2018,8/21/2018,E002,11863,16624,BONE SPRING,"ROSEHILL OPERATING COMPANY, LLC",104279.33300000001
397,4230133881,WEBER 26 E002,OIL,Active,H,8/1/2018,81572.0,136244.0,497281.0,31.83158493,-103.48208620000001,5069.197265999999,4/11/2018,,,0,0,,,104279.33300000001
398,4230133881,WEBER 26 E002,OIL,Active,H,8/1/2018,81572.0,136244.0,497281.0,31.83158493,-103.48208620000001,5069.197265999999,4/11/2018,8/21/2018,E002,0,0,,,104279.33300000001
399,4230133868,HUGHES & TALBOT 75-26 2H,OIL,Active,H,6/1/2018,118696.0,140323.0,677181.0,31.88111877,-103.41789250000001,6015.165527,4/12/2018,,,0,0,,,142083.1665
400,4230133868,HUGHES & TALBOT 75-26 2H,OIL,Active,H,6/1/2018,118696.0,140323.0,677181.0,31.88111877,-103.41789250000001,6015.165527,4/12/2018,6/21/2018,2H,12620,17382,,ANADARKO E&P ONSHORE LLC,142083.1665
401,4230133869,BLACK STALLION 28-10 1H,OIL,Active,H,8/1/2018,104225.0,117950.0,0.0,31.83449745,-103.3520126,5665.162598,6/7/2018,8/22/2018,1H,12707,22815,WOLFCAMP,ANADARKO E&P ONSHORE LLC,123883.334
402,4230133869,BLACK STALLION 28-10 1H,OIL,Active,H,8/1/2018,104225.0,117950.0,0.0,31.83449745,-103.3520126,5665.162598,6/7/2018,,,0,0,,,123883.334
403,4230133855,REVOLVER 7507 E,,Active,H,7/1/2018,179887.0,314596.0,0.0,31.90045357,-103.3935242,4931.241699,2/25/2018,6/30/2018,14H,12531,17082,WOLFCAMP,COG OPERATING LLC,232319.6685
404,4230133844,CBR 9-4F 6H,OIL,Active,H,9/1/2018,152356.0,1021045.0,0.0,31.96999168,-103.86109920000001,10865.45117,2/14/2018,9/26/2018,6H,0,0,,"WPX ENERGY PERMIAN, LLC",322530.1597
405,4230133844,CBR 9-4F 6H,OIL,Active,H,9/1/2018,152356.0,1021045.0,0.0,31.96999168,-103.86109920000001,10865.45117,2/14/2018,1/12/2019,6H,11287,21395,,"WPX ENERGY PERMIAN, LLC",322530.1597
406,4230133844,CBR 9-4F 6H,OIL,Active,H,9/1/2018,152356.0,1021045.0,0.0,31.96999168,-103.86109920000001,10865.45117,2/14/2018,9/26/2018,6H,0,0,,"WPX ENERGY PERMIAN, LLC",322530.1597
407,4230133943,CBR 41-44E 5H,OIL,Active,H,1/1/2019,93328.0,328090.0,0.0,31.91345406,-103.8845062,10825.532229999999,4/11/2018,1/20/2019,5H,0,0,WOLFCAMP,"WPX ENERGY PERMIAN, LLC",148009.6621
408,4230133943,CBR 41-44E 5H,OIL,Active,H,1/1/2019,93328.0,328090.0,0.0,31.91345406,-103.8845062,10825.532229999999,4/11/2018,1/20/2019,5H,0,0,WOLFCAMP,"WPX ENERGY PERMIAN, LLC",148009.6621
409,4230133943,CBR 41-44E 5H,OIL,Active,H,1/1/2019,93328.0,328090.0,0.0,31.91345406,-103.8845062,10825.532229999999,4/11/2018,3/23/2019,5H,10925,20981,WOLFCAMP,"WPX ENERGY PERMIAN, LLC",148009.6621
411,4230133909,CLARE GLASSELL 71-TTT-B01 WF 204H,OIL,Active,H,7/1/2018,163665.0,516380.0,0.0,31.68838501,-103.5616684,4408.422852000001,6/11/2018,8/2/2018,204H,11044,15699,WOLFCAMP,MATADOR PRODUCTION COMPANY,249728.332
412,4230133936,WEBER 26 SWD 2,OIL,Active,V,9/1/2018,20640.0,28152.0,0.0,31.84223366,-103.4792099,7116.0,5/29/2018,9/6/2018,2,0,0,,"ROSEHILL OPERATING COMPANY, LLC",25332.0
