,Name,Api,Field - Aliased,County,Status - Aliased,Well Type - Aliased,First Production Date,Spud Date,CUM Oil,CUM Gas,CUM Water,Latitude,Longitude,Latitude,Longitude,Lateral Length,Completion Date,Lease,Current Operator - Reported,field reported,well type-reported,wellbore profile reported,Original Operator - Aliased,Wellbore Profile - Aliased
?,YMC 9 2H,42-301-33462-0000,PHANTOM (WOLFCAMP),LOVING,Active,OIL,9/1/2018,1/14/2018,87376,499813,411598,31.97031975,-103.8684921,31.97031975,-103.8684921,5340.688477,Thu Sep 13 2018 00:00:00 GMT-0500 (Central Daylight Time),08-285309 : YMC 9,"WPX ENERGY PERMIAN, LLC",PHANTOM (WOLFCAMP),OIL,HORIZONTAL,RKI EXPLORATION & PRODUCTION LLC,HORIZONTAL
?,APOLLO 7 7H,42-301-33399-0000,PHANTOM (WOLFCAMP),LOVING,Active,PERMIT,12/1/2018,5/25/2018,88333,241734,0,31.9996109,-103.6425934,31.9996109,-103.6425934,5110.911621,Sat Dec 08 2018 00:00:00 GMT-0600 (Central Standard Time),08-47326 : APOLLO 7,"EOG RESOURCES, INC.",PHANTOM (WOLFCAMP),,HORIZONTAL,"EOG RESOURCES, INC.",HORIZONTAL
?,APOLLO 7 5H,42-301-33397-0000,PHANTOM (WOLFCAMP),LOVING,Active,PERMIT,12/1/2018,8/31/2018,76652,209883,0,31.99961472,-103.6408768,31.99961472,-103.6408768,5119.667969,Sun Dec 09 2018 00:00:00 GMT-0600 (Central Standard Time),08-47326 : APOLLO 7,"EOG RESOURCES, INC.",PHANTOM (WOLFCAMP),,HORIZONTAL,"EOG RESOURCES, INC.",HORIZONTAL
?,MENTONE BRINE WELL 1,42-301-33481-0000,WHEAT,LOVING,Active,STORAGE,,2/7/2018,,,,31.73611259,-103.5513763,31.73611259,-103.5513763,,Tue Mar 06 2018 00:00:00 GMT-0600 (Central Standard Time),08-51035 : MENTONE BRINE WELL,"MUSTANG SWD OPERATING, LLC",WHEAT (CHERRY CANYON),STORAGE,VERTICAL,"MUSTANG SWD OPERATING, LLC",VERTICAL
?,CHINOOK 55-1-7 UNIT 2H,42-301-33492-0000,PHANTOM (WOLFCAMP),LOVING,Active,PERMIT,,5/12/2018,,,,31.97754097,-103.7943573,31.97754097,-103.7943573,7704.328125,Tue Jul 17 2018 00:00:00 GMT-0500 (Central Daylight Time),,ANADARKO E&P ONSHORE LLC,PHANTOM (WOLFCAMP),PERMIT,HORIZONTAL,ANADARKO PETROLEUM CORPORATION,HORIZONTAL
?,BONNETHEAD 53-2-15 LOV 1H,42-301-33521-0000,PHANTOM (WOLFCAMP),LOVING,Active,PERMIT,10/1/2018,7/9/2018,47622,95494,151200,31.85216713,-103.5344772,31.85216713,-103.5344772,4550.721191,Mon Oct 29 2018 00:00:00 GMT-0500 (Central Daylight Time),08-51093 : BONNETHEAD 53-2-15 LOV,SHELL WESTERN E&P,PHANTOM (WOLFCAMP),,HORIZONTAL,SHELL OIL COMPANY,HORIZONTAL
?,CYCLONE 54-2-15 UNIT 1H,42-301-33491-0000,PHANTOM (WOLFCAMP),LOVING,Active,OIL,7/1/2018,5/12/2018,71381,311084,801403,31.85304451,-103.6406174,31.85304451,-103.6406174,7529.925293,Tue Jul 17 2018 00:00:00 GMT-0500 (Central Daylight Time),08-285489 : CYCLONE 54-2-15 UNIT,ANADARKO E&P ONSHORE LLC,PHANTOM (WOLFCAMP),OIL,HORIZONTAL,ANADARKO PETROLEUM CORPORATION,HORIZONTAL
?,STINGRAY 53-2-25 LOV UNIT 2H,42-301-33564-0000,PHANTOM (WOLFCAMP),LOVING,Active,PERMIT,,3/28/2018,,,,31.81126785,-103.5013962,31.81126785,-103.5013962,4714.466309,Fri Nov 16 2018 00:00:00 GMT-0600 (Central Standard Time),08-51384 : STINGRAY 53-2-25 LOV UNIT,SHELL WESTERN E&P,PHANTOM (WOLFCAMP),,HORIZONTAL,SHELL OIL COMPANY,HORIZONTAL
?,VENETIAN WAY 55-2-39 1H,42-301-33520-0000,PHANTOM (WOLFCAMP),LOVING,Active,PERMIT,,7/9/2018,,,,31.78245926,-103.7534332,31.78245926,-103.7534332,4854.874023,Mon Oct 29 2018 00:00:00 GMT-0500 (Central Daylight Time),,ANADARKO E&P ONSHORE LLC,PHANTOM (WOLFCAMP),PERMIT,HORIZONTAL,ANADARKO PETROLEUM CORPORATION,HORIZONTAL
?,MURUS 55-2-30 LOV UNIT SW 1H,42-301-33531-0000,PHANTOM (WOLFCAMP),LOVING,Active,OIL,6/1/2018,2/11/2018,117505,444012,137861,31.81779671,-103.801445,31.81779671,-103.801445,7789.063965,Mon Jun 11 2018 00:00:00 GMT-0500 (Central Daylight Time),08-50608 : MURUS 55-2-30 LOV UNIT SW,SHELL WESTERN E&P,PHANTOM (WOLFCAMP),OIL,HORIZONTAL,SHELL OIL COMPANY,HORIZONTAL
